track_id,playlist_id
500,600
501,600
502,600
503,600
504,600
505,600
506,600
507,600
508,600
509,600
510,601
511,601
512,601
513,601
514,601
515,601
516,601
517,601
518,601
519,601
520,602
521,602
522,602
523,602
524,602
525,602
526,602
527,602
528,602
529,602
530,603
531,603
532,603
533,603
534,603
535,603
536,603
537,603
538,603
539,603
540,604
541,604
542,604
543,604
544,604
545,604
546,604
547,604
548,604
549,604
550,605
551,605
552,605
553,605
554,605
555,605
556,605
557,605
558,605
559,605
560,606
561,606
562,606
563,606
564,606
565,606
566,606
567,606
568,606
569,606
570,607
571,607
572,607
573,607
574,607
575,607
576,607
577,607
578,607
579,607
